Cause,Code (Data6),Sex,Year,DALY,Mental_health_legislation,Mental_health_policy,GDP_per_Capita,Mental_health_professional,WHO_Support per 100k,Health expenditure per capita.Value
Anxiety disorders,BGR,Female,2008,18001.66402,No data,No data,7271.303389,No data,0,456
Attention-deficit_hyperactivity disorder,BGR,Female,2008,204.1623677,No data,No data,7271.303389,No data,0,456
Bipolar disorder,BGR,Female,2008,5743.98055,No data,No data,7271.303389,No data,0,456
Depressive disorders,BGR,Female,2008,25649.94375,No data,No data,7271.303389,No data,0,456
Eating disorders,BGR,Female,2008,1784.28827,No data,No data,7271.303389,No data,0,456
Idiopathic developmental intellectual disability,BGR,Female,2008,681.7413451,No data,No data,7271.303389,No data,0,456
Schizophrenia,BGR,Female,2008,5897.231676,No data,No data,7271.303389,No data,0,456
Depressive disorders,AFG,Female,2008,68640.57139,No data,No data,382.5338038,No data,0,39.96989822
Anxiety disorders,AFG,Female,2008,54712.37929,No data,No data,382.5338038,No data,0,39.96989822
Eating disorders,AFG,Female,2008,3035.920697,No data,No data,382.5338038,No data,0,39.96989822
Idiopathic developmental intellectual disability,AFG,Female,2008,22697.86928,No data,No data,382.5338038,No data,0,39.96989822
Attention-deficit_hyperactivity disorder,AFG,Female,2008,1112.273098,No data,No data,382.5338038,No data,0,39.96989822
Bipolar disorder,AFG,Female,2008,13229.69412,No data,No data,382.5338038,No data,0,39.96989822
Schizophrenia,AFG,Female,2008,7507.779431,No data,No data,382.5338038,No data,0,39.96989822
Anxiety disorders,BFA,Female,2008,23090.61351,No data,No data,621.8902718,No data,0,28.90426254
Attention-deficit_hyperactivity disorder,BFA,Female,2008,947.5267819,No data,No data,621.8902718,No data,0,28.90426254
Bipolar disorder,BFA,Female,2008,8691.752105,No data,No data,621.8902718,No data,0,28.90426254
Depressive disorders,BFA,Female,2008,40361.70016,No data,No data,621.8902718,No data,0,28.90426254
Eating disorders,BFA,Female,2008,2255.779284,No data,No data,621.8902718,No data,0,28.90426254
Idiopathic developmental intellectual disability,BFA,Female,2008,3268.862532,No data,No data,621.8902718,No data,0,28.90426254
Schizophrenia,BFA,Female,2008,5983.98563,No data,No data,621.8902718,No data,0,28.90426254
Anxiety disorders,AGO,Female,2008,32783.99224,No data,No data,4081.717497,No data,0,135.6315308
Attention-deficit_hyperactivity disorder,AGO,Female,2008,1141.688392,No data,No data,4081.717497,No data,0,135.6315308
Bipolar disorder,AGO,Female,2008,10773.83213,No data,No data,4081.717497,No data,0,135.6315308
Depressive disorders,AGO,Female,2008,62037.37174,No data,No data,4081.717497,No data,0,135.6315308
Eating disorders,AGO,Female,2008,4025.617931,No data,No data,4081.717497,No data,0,135.6315308
Idiopathic developmental intellectual disability,AGO,Female,2008,1769.981484,No data,No data,4081.717497,No data,0,135.6315308
Schizophrenia,AGO,Female,2008,7500.543472,No data,No data,4081.717497,No data,0,135.6315308
Anxiety disorders,AGO,Female,2009,34143.62739,No data,No data,3123.698898,No data,0,120.0315094
Attention-deficit_hyperactivity disorder,AGO,Female,2009,1187.158349,No data,No data,3123.698898,No data,0,120.0315094
Bipolar disorder,AGO,Female,2009,11214.14426,No data,No data,3123.698898,No data,0,120.0315094
Depressive disorders,AGO,Female,2009,64407.40318,No data,No data,3123.698898,No data,0,120.0315094
Eating disorders,AGO,Female,2009,4311.816143,No data,No data,3123.698898,No data,0,120.0315094
Idiopathic developmental intellectual disability,AGO,Female,2009,1779.99742,No data,No data,3123.698898,No data,0,120.0315094
Schizophrenia,AGO,Female,2009,7880.367855,No data,No data,3123.698898,No data,0,120.0315094
Anxiety disorders,BDI,Female,2008,16470.75104,No data,No data,194.7106346,No data,0,15.07347488
Attention-deficit_hyperactivity disorder,BDI,Female,2008,492.4087399,No data,No data,194.7106346,No data,0,15.07347488
Bipolar disorder,BDI,Female,2008,4488.207447,No data,No data,194.7106346,No data,0,15.07347488
Depressive disorders,BDI,Female,2008,22505.3082,No data,No data,194.7106346,No data,0,15.07347488
Eating disorders,BDI,Female,2008,1011.979592,No data,No data,194.7106346,No data,0,15.07347488
Idiopathic developmental intellectual disability,BDI,Female,2008,2772.411579,No data,No data,194.7106346,No data,0,15.07347488
Schizophrenia,BDI,Female,2008,2707.691358,No data,No data,194.7106346,No data,0,15.07347488
Anxiety disorders,AFG,Female,2009,56697.51182,No data,No data,453.3873821,No data,0,43.26076889
Attention-deficit_hyperactivity disorder,AFG,Female,2009,1147.012515,No data,No data,453.3873821,No data,0,43.26076889
Bipolar disorder,AFG,Female,2009,13840.97029,No data,No data,453.3873821,No data,0,43.26076889
Anxiety disorders,AFG,Female,2010,59143.39411,No data,No data,562.4992194,No data,0,46.57987976
Attention-deficit_hyperactivity disorder,AFG,Female,2010,1194.633522,No data,No data,562.4992194,No data,0,46.57987976
Depressive disorders,AFG,Female,2010,74417.7021,No data,No data,562.4992194,No data,0,46.57987976
Eating disorders,AFG,Female,2010,3459.08987,No data,No data,562.4992194,No data,0,46.57987976
Idiopathic developmental intellectual disability,AFG,Female,2010,23297.3884,No data,No data,562.4992194,No data,0,46.57987976
Schizophrenia,AFG,Female,2010,8041.231387,No data,No data,562.4992194,No data,0,46.57987976
Anxiety disorders,AFG,Female,2011,62097.64407,No data,No data,608.7388559,No data,0,52.36304855
Anxiety disorders,BEL,Female,2013,31339.61963,No data,No data,46757.95186,Psychiatrists,20.1,4954.924316
Anxiety disorders,BEL,Female,2013,31339.61963,No data,No data,46757.95186,Nurses,125.7,4954.924316
Anxiety disorders,BEL,Female,2013,31339.61963,No data,No data,46757.95186,Social workers,17.4,4954.924316
Anxiety disorders,BEL,Female,2013,31339.61963,No data,No data,46757.95186,Psychologists,10.5,4954.924316
Attention-deficit_hyperactivity disorder,BEL,Female,2013,259.32716,No data,No data,46757.95186,Psychiatrists,20.1,4954.924316
Attention-deficit_hyperactivity disorder,BEL,Female,2013,259.32716,No data,No data,46757.95186,Nurses,125.7,4954.924316
Attention-deficit_hyperactivity disorder,BEL,Female,2013,259.32716,No data,No data,46757.95186,Social workers,17.4,4954.924316
Attention-deficit_hyperactivity disorder,BEL,Female,2013,259.32716,No data,No data,46757.95186,Psychologists,10.5,4954.924316
Bipolar disorder,BEL,Female,2013,11642.56267,No data,No data,46757.95186,Psychiatrists,20.1,4954.924316
Bipolar disorder,BEL,Female,2013,11642.56267,No data,No data,46757.95186,Nurses,125.7,4954.924316
Bipolar disorder,BEL,Female,2013,11642.56267,No data,No data,46757.95186,Social workers,17.4,4954.924316
Bipolar disorder,BEL,Female,2013,11642.56267,No data,No data,46757.95186,Psychologists,10.5,4954.924316
Depressive disorders,BEL,Female,2013,52070.61425,No data,No data,46757.95186,Psychiatrists,20.1,4954.924316
Depressive disorders,BEL,Female,2013,52070.61425,No data,No data,46757.95186,Nurses,125.7,4954.924316
Depressive disorders,BEL,Female,2013,52070.61425,No data,No data,46757.95186,Social workers,17.4,4954.924316
Depressive disorders,BEL,Female,2013,52070.61425,No data,No data,46757.95186,Psychologists,10.5,4954.924316
Eating disorders,BEL,Female,2013,8424.793696,No data,No data,46757.95186,Psychiatrists,20.1,4954.924316
Eating disorders,BEL,Female,2013,8424.793696,No data,No data,46757.95186,Nurses,125.7,4954.924316
Eating disorders,BEL,Female,2013,8424.793696,No data,No data,46757.95186,Social workers,17.4,4954.924316
Eating disorders,BEL,Female,2013,8424.793696,No data,No data,46757.95186,Psychologists,10.5,4954.924316
Idiopathic developmental intellectual disability,BEL,Female,2013,927.4947746,No data,No data,46757.95186,Psychiatrists,20.1,4954.924316
Idiopathic developmental intellectual disability,BEL,Female,2013,927.4947746,No data,No data,46757.95186,Nurses,125.7,4954.924316
Idiopathic developmental intellectual disability,BEL,Female,2013,927.4947746,No data,No data,46757.95186,Social workers,17.4,4954.924316
Idiopathic developmental intellectual disability,BEL,Female,2013,927.4947746,No data,No data,46757.95186,Psychologists,10.5,4954.924316
Schizophrenia,BEL,Female,2013,9739.558212,No data,No data,46757.95186,Psychiatrists,20.1,4954.924316
Schizophrenia,BEL,Female,2013,9739.558212,No data,No data,46757.95186,Nurses,125.7,4954.924316
Schizophrenia,BEL,Female,2013,9739.558212,No data,No data,46757.95186,Social workers,17.4,4954.924316
Schizophrenia,BEL,Female,2013,9739.558212,No data,No data,46757.95186,Psychologists,10.5,4954.924316
Anxiety disorders,AGO,Female,2013,40114.45477,No data,No data,5061.34924,No data,0,142.8861694
Attention-deficit_hyperactivity disorder,AGO,Female,2013,1397.300074,No data,No data,5061.34924,No data,0,142.8861694
Bipolar disorder,AGO,Female,2013,13112.13807,No data,No data,5061.34924,No data,0,142.8861694
Depressive disorders,AGO,Female,2013,75284.26239,No data,No data,5061.34924,No data,0,142.8861694
Eating disorders,AGO,Female,2013,5395.980798,No data,No data,5061.34924,No data,0,142.8861694
Idiopathic developmental intellectual disability,AGO,Female,2013,1871.066296,No data,No data,5061.34924,No data,0,142.8861694
Schizophrenia,AGO,Female,2013,9367.47553,No data,No data,5061.34924,No data,0,142.8861694
Depressive disorders,ALB,Female,2008,6954.591546,No data,No data,4370.539716,No data,0,240.4162598
Anxiety disorders,ALB,Female,2008,6162.711414,No data,No data,4370.539716,No data,0,240.4162598
Eating disorders,ALB,Female,2008,641.166632,No data,No data,4370.539716,No data,0,240.4162598
Idiopathic developmental intellectual disability,ALB,Female,2008,364.3804288,No data,No data,4370.539716,No data,0,240.4162598
Attention-deficit_hyperactivity disorder,ALB,Female,2008,101.642065,No data,No data,4370.539716,No data,0,240.4162598
Bipolar disorder,ALB,Female,2008,2321.69381,No data,No data,4370.539716,No data,0,240.4162598
Schizophrenia,ALB,Female,2008,1947.694213,No data,No data,4370.539716,No data,0,240.4162598
Anxiety disorders,CPV,Female,2008,805.1961638,No data,No data,3839.863636,No data,0,125.5351028
Attention-deficit_hyperactivity disorder,CPV,Female,2008,29.21491616,No data,No data,3839.863636,No data,0,125.5351028
Bipolar disorder,CPV,Female,2008,356.8680845,No data,No data,3839.863636,No data,0,125.5351028
Depressive disorders,CPV,Female,2008,1667.123455,No data,No data,3839.863636,No data,0,125.5351028
Eating disorders,CPV,Female,2008,114.4505801,No data,No data,3839.863636,No data,0,125.5351028
Idiopathic developmental intellectual disability,CPV,Female,2008,32.91598917,No data,No data,3839.863636,No data,0,125.5351028
Schizophrenia,CPV,Female,2008,253.1794676,No data,No data,3839.863636,No data,0,125.5351028
Anxiety disorders,KHM,Female,2008,26383.88468,No data,No data,742.3979723,No data,0,49.00638199
Attention-deficit_hyperactivity disorder,KHM,Female,2008,360.3974584,No data,No data,742.3979723,No data,0,49.00638199
Bipolar disorder,KHM,Female,2008,7104.910673,No data,No data,742.3979723,No data,0,49.00638199
Depressive disorders,KHM,Female,2008,34134.66884,No data,No data,742.3979723,No data,0,49.00638199
Eating disorders,KHM,Female,2008,2033.953908,No data,No data,742.3979723,No data,0,49.00638199
Idiopathic developmental intellectual disability,KHM,Female,2008,6985.579322,No data,No data,742.3979723,No data,0,49.00638199
Schizophrenia,KHM,Female,2008,7858.994029,No data,No data,742.3979723,No data,0,49.00638199
Anxiety disorders,AND,Female,2008,262.4593102,No data,No data,53721.38851,No data,0,3046.362061
Attention-deficit_hyperactivity disorder,AND,Female,2008,1.973228385,No data,No data,53721.38851,No data,0,3046.362061
Bipolar disorder,AND,Female,2008,92.73498927,No data,No data,53721.38851,No data,0,3046.362061
Depressive disorders,AND,Female,2008,337.4507475,No data,No data,53721.38851,No data,0,3046.362061
Eating disorders,AND,Female,2008,81.90088413,No data,No data,53721.38851,No data,0,3046.362061
Idiopathic developmental intellectual disability,AND,Female,2008,4.906313242,No data,No data,53721.38851,No data,0,3046.362061
Schizophrenia,AND,Female,2008,78.87349579,No data,No data,53721.38851,No data,0,3046.362061
Anxiety disorders,AND,Female,2009,262.6879872,No data,No data,49750.71855,No data,0,3025.308838
Attention-deficit_hyperactivity disorder,AND,Female,2009,1.960472269,No data,No data,49750.71855,No data,0,3025.308838
Bipolar disorder,AND,Female,2009,92.42084306,No data,No data,49750.71855,No data,0,3025.308838
Depressive disorders,AND,Female,2009,337.7591615,No data,No data,49750.71855,No data,0,3025.308838
Eating disorders,AND,Female,2009,80.11251997,No data,No data,49750.71855,No data,0,3025.308838
Idiopathic developmental intellectual disability,AND,Female,2009,4.836343732,No data,No data,49750.71855,No data,0,3025.308838
Schizophrenia,AND,Female,2009,79.30781161,No data,No data,49750.71855,No data,0,3025.308838
Anxiety disorders,CMR,Female,2008,29626.99726,No data,No data,1476.009079,No data,0,53.99885559
Attention-deficit_hyperactivity disorder,CMR,Female,2008,1214.16337,No data,No data,1476.009079,No data,0,53.99885559
Bipolar disorder,CMR,Female,2008,11224.51774,No data,No data,1476.009079,No data,0,53.99885559
Depressive disorders,CMR,Female,2008,55826.44376,No data,No data,1476.009079,No data,0,53.99885559
Eating disorders,CMR,Female,2008,3649.309792,No data,No data,1476.009079,No data,0,53.99885559
Idiopathic developmental intellectual disability,CMR,Female,2008,2316.07576,No data,No data,1476.009079,No data,0,53.99885559
Schizophrenia,CMR,Female,2008,7822.915795,No data,No data,1476.009079,No data,0,53.99885559
Anxiety disorders,AGO,Female,2014,41721.25687,No data,No data,5011.984412,No data,0,130.7423401
Attention-deficit_hyperactivity disorder,AGO,Female,2014,1458.081085,No data,No data,5011.984412,No data,0,130.7423401
Bipolar disorder,AGO,Female,2014,13629.02221,No data,No data,5011.984412,No data,0,130.7423401
Depressive disorders,AGO,Female,2015,81365.08538,No data,No data,3217.339244,No data,0,107.6435623
Eating disorders,AGO,Female,2015,5974.688503,No data,No data,3217.339244,No data,0,107.6435623
Anxiety disorders,AND,Female,2013,243.1105469,No data,No data,44747.76116,No data,0,3041.841553
Attention-deficit_hyperactivity disorder,AND,Female,2013,1.795625629,No data,No data,44747.76116,No data,0,3041.841553
Bipolar disorder,AND,Female,2013,84.677046,No data,No data,44747.76116,No data,0,3041.841553
Depressive disorders,AND,Female,2013,311.782005,No data,No data,44747.76116,No data,0,3041.841553
Eating disorders,AND,Female,2013,68.99190062,No data,No data,44747.76116,No data,0,3041.841553
Idiopathic developmental intellectual disability,AND,Female,2013,4.398495134,No data,No data,44747.76116,No data,0,3041.841553
Schizophrenia,AND,Female,2013,73.5143942,No data,No data,44747.76116,No data,0,3041.841553
Bipolar disorder,ARE,Female,2008,3582.145691,No data,No data,45140.76908,No data,0,1321.93689
Depressive disorders,ARE,Female,2008,10957.76883,No data,No data,45140.76908,No data,0,1321.93689
Eating disorders,ARE,Female,2008,2245.082605,No data,No data,45140.76908,No data,0,1321.93689
Anxiety disorders,ARE,Female,2008,10901.68441,No data,No data,45140.76908,No data,0,1321.93689
Attention-deficit_hyperactivity disorder,ARE,Female,2008,67.32637909,No data,No data,45140.76908,No data,0,1321.93689
Idiopathic developmental intellectual disability,ARE,Female,2008,541.0364776,No data,No data,45140.76908,No data,0,1321.93689
Schizophrenia,ARE,Female,2008,2559.490332,No data,No data,45140.76908,No data,0,1321.93689
Anxiety disorders,CAN,Female,2008,102309.5653,No data,No data,46710.50558,No data,0,4491.229004
Depressive disorders,CAN,Female,2008,129777.6444,No data,No data,46710.50558,No data,0,4491.229004
Eating disorders,CAN,Female,2008,19855.45442,No data,No data,46710.50558,No data,0,4491.229004
Idiopathic developmental intellectual disability,CAN,Female,2008,3453.011548,No data,No data,46710.50558,No data,0,4491.229004
Attention-deficit_hyperactivity disorder,CAN,Female,2008,1045.762491,No data,No data,46710.50558,No data,0,4491.229004
Bipolar disorder,CAN,Female,2008,25371.52601,No data,No data,46710.50558,No data,0,4491.229004
Schizophrenia,CAN,Female,2008,36427.81958,No data,No data,46710.50558,No data,0,4491.229004
Anxiety disorders,TKM,Female,2008,6579.098255,No data,No data,3778.668539,No data,0,247.2456665
Attention-deficit_hyperactivity disorder,TKM,Female,2008,164.4856708,No data,No data,3778.668539,No data,0,247.2456665
Bipolar disorder,TKM,Female,2008,3144.628165,No data,No data,3778.668539,No data,0,247.2456665
Depressive disorders,TKM,Female,2008,10833.18208,No data,No data,3778.668539,No data,0,247.2456665
Eating disorders,TKM,Female,2008,1083.92414,No data,No data,3778.668539,No data,0,247.2456665
Idiopathic developmental intellectual disability,TKM,Female,2008,496.3754632,No data,No data,3778.668539,No data,0,247.2456665
Schizophrenia,TKM,Female,2008,2553.47951,No data,No data,3778.668539,No data,0,247.2456665
Anxiety disorders,ALB,Female,2009,6143.287014,No data,No data,4114.134033,No data,0,239.4438629
Attention-deficit_hyperactivity disorder,ALB,Female,2009,99.29426835,No data,No data,4114.134033,No data,0,239.4438629
Bipolar disorder,ALB,Female,2009,2316.567152,No data,No data,4114.134033,No data,0,239.4438629
Anxiety disorders,ARG,Female,2008,166073.6326,No data,No data,8977.506851,No data,0,742.9046631
Attention-deficit_hyperactivity disorder,ARG,Female,2008,2999.362334,No data,No data,8977.506851,No data,0,742.9046631
Bipolar disorder,ARG,Female,2008,32676.40894,No data,No data,8977.506851,No data,0,742.9046631
Depressive disorders,ARG,Female,2008,150217.5553,No data,No data,8977.506851,No data,0,742.9046631
Eating disorders,ARG,Female,2008,21096.37984,No data,No data,8977.506851,No data,0,742.9046631
Idiopathic developmental intellectual disability,ARG,Female,2008,4103.648848,No data,No data,8977.506851,No data,0,742.9046631
Schizophrenia,ARG,Female,2008,23931.08343,No data,No data,8977.506851,No data,0,742.9046631
Anxiety disorders,ALB,Female,2010,6111.584169,No data,No data,4094.349686,No data,0,255.3181915
Attention-deficit_hyperactivity disorder,ALB,Female,2010,96.95818599,No data,No data,4094.349686,No data,0,255.3181915
Depressive disorders,ALB,Female,2010,6982.125729,No data,No data,4094.349686,No data,0,255.3181915
Eating disorders,ALB,Female,2010,643.294631,No data,No data,4094.349686,No data,0,255.3181915
Idiopathic developmental intellectual disability,ALB,Female,2010,332.4734489,No data,No data,4094.349686,No data,0,255.3181915
Schizophrenia,ALB,Female,2010,1955.958843,No data,No data,4094.349686,No data,0,255.3181915
Anxiety disorders,ALB,Female,2011,6072.198086,No data,No data,4437.141161,No data,0,274.776886
Anxiety disorders,ARG,Female,2009,168275.8896,No data,No data,8184.389889,No data,0,781.7780151
Attention-deficit_hyperactivity disorder,ARG,Female,2009,3029.249693,No data,No data,8184.389889,No data,0,781.7780151
Bipolar disorder,ARG,Female,2009,33144.63796,No data,No data,8184.389889,No data,0,781.7780151
Depressive disorders,ARG,Female,2009,152153.2929,No data,No data,8184.389889,No data,0,781.7780151
Eating disorders,ARG,Female,2009,21681.65959,No data,No data,8184.389889,No data,0,781.7780151
Idiopathic developmental intellectual disability,ARG,Female,2009,4056.510673,No data,No data,8184.389889,No data,0,781.7780151
Schizophrenia,ARG,Female,2009,24299.34705,No data,No data,8184.389889,No data,0,781.7780151
Anxiety disorders,VIR,Female,2008,325.4028811,No data,No data,0,No data,0,0
Attention-deficit_hyperactivity disorder,VIR,Female,2008,7.356941193,No data,No data,0,No data,0,0
Bipolar disorder,VIR,Female,2008,114.5486418,No data,No data,0,No data,0,0
Depressive disorders,VIR,Female,2008,352.3807095,No data,No data,0,No data,0,0
Eating disorders,VIR,Female,2008,68.11061935,No data,No data,0,No data,0,0
Idiopathic developmental intellectual disability,VIR,Female,2008,3.664124203,No data,No data,0,No data,0,0
Schizophrenia,VIR,Female,2008,83.04705329,No data,No data,0,No data,0,0
Anxiety disorders,ARG,Female,2013,177031.3717,No data,No data,13080.25473,No data,0,1415.210083
Attention-deficit_hyperactivity disorder,ARG,Female,2013,3104.555487,No data,No data,13080.25473,No data,0,1415.210083
Bipolar disorder,ARG,Female,2013,35034.61958,No data,No data,13080.25473,No data,0,1415.210083
Depressive disorders,ARG,Female,2013,160272.714,No data,No data,13080.25473,No data,0,1415.210083
Eating disorders,ARG,Female,2013,23525.59118,No data,No data,13080.25473,No data,0,1415.210083
Idiopathic developmental intellectual disability,ARG,Female,2013,4017.410425,No data,No data,13080.25473,No data,0,1415.210083
Schizophrenia,ARG,Female,2013,25981.51561,No data,No data,13080.25473,No data,0,1415.210083
Anxiety disorders,PSE,Female,2008,9824.761594,No data,No data,2035.202341,No data,0,0
Attention-deficit_hyperactivity disorder,PSE,Female,2008,178.4570498,No data,No data,2035.202341,No data,0,0
Bipolar disorder,PSE,Female,2008,2882.34813,No data,No data,2035.202341,No data,0,0
Depressive disorders,PSE,Female,2008,14613.96069,No data,No data,2035.202341,No data,0,0
Eating disorders,PSE,Female,2008,754.4579745,No data,No data,2035.202341,No data,0,0
Idiopathic developmental intellectual disability,PSE,Female,2008,1535.316832,No data,No data,2035.202341,No data,0,0
Schizophrenia,PSE,Female,2008,1605.281143,No data,No data,2035.202341,No data,0,0
Anxiety disorders,AND,Female,2014,245.8288664,No data,No data,45680.54694,No data,0,3089.843018
Attention-deficit_hyperactivity disorder,AND,Female,2014,1.801681007,No data,No data,45680.54694,No data,0,3089.843018
Bipolar disorder,AND,Female,2014,85.5930087,No data,No data,45680.54694,No data,0,3089.843018
Depressive disorders,AND,Female,2015,319.8314239,No data,No data,0,No data,0,2688.206299
Eating disorders,AND,Female,2015,68.14188406,No data,No data,0,No data,0,2688.206299
Anxiety disorders,ARM,Female,2008,5268.349328,No data,No data,3908.94906,No data,0,260
Attention-deficit_hyperactivity disorder,ARM,Female,2008,105.6019097,No data,No data,3908.94906,No data,0,260
Bipolar disorder,ARM,Female,2008,2760.984537,No data,No data,3908.94906,No data,0,260
Depressive disorders,ARM,Female,2008,9148.335662,No data,No data,3908.94906,No data,0,260
Eating disorders,ARM,Female,2008,670.3457842,No data,No data,3908.94906,No data,0,260
Idiopathic developmental intellectual disability,ARM,Female,2008,423.4375164,No data,No data,3908.94906,No data,0,260
Schizophrenia,ARM,Female,2008,2246.868931,No data,No data,3908.94906,No data,0,260
Anxiety disorders,ARM,Female,2009,5229.379594,No data,No data,2917.366242,No data,0,246
Attention-deficit_hyperactivity disorder,ARM,Female,2009,103.3355357,No data,No data,2917.366242,No data,0,246
Bipolar disorder,ARM,Female,2009,2742.258411,No data,No data,2917.366242,No data,0,246
Depressive disorders,ARM,Female,2009,9116.396878,No data,No data,2917.366242,No data,0,246
Eating disorders,ARM,Female,2009,682.7387985,No data,No data,2917.366242,No data,0,246
Idiopathic developmental intellectual disability,ARM,Female,2009,406.2468146,No data,No data,2917.366242,No data,0,246
Schizophrenia,ARM,Female,2009,2253.623963,No data,No data,2917.366242,No data,0,246
Anxiety disorders,ARM,Female,2013,5093.485637,No data,No data,3833.157074,No data,0,396
Attention-deficit_hyperactivity disorder,ARM,Female,2013,96.31482903,No data,No data,3833.157074,No data,0,396
Bipolar disorder,ARM,Female,2013,2653.760976,No data,No data,3833.157074,No data,0,396
Depressive disorders,ARM,Female,2013,9093.857952,No data,No data,3833.157074,No data,0,396
Eating disorders,ARM,Female,2013,693.7171238,No data,No data,3833.157074,No data,0,396
Idiopathic developmental intellectual disability,ARM,Female,2013,358.4916482,No data,No data,3833.157074,No data,0,396
Schizophrenia,ARM,Female,2013,2275.762943,No data,No data,3833.157074,No data,0,396
Anxiety disorders,YEM,Female,2008,56227.49741,No data,No data,1153.536422,No data,0,66.46580505
Attention-deficit_hyperactivity disorder,YEM,Female,2008,606.8583341,No data,No data,1153.536422,No data,0,66.46580505
Bipolar disorder,YEM,Female,2008,14671.90424,No data,No data,1153.536422,No data,0,66.46580505
Depressive disorders,YEM,Female,2008,73646.72729,No data,No data,1153.536422,No data,0,66.46580505
Eating disorders,YEM,Female,2008,4627.251111,No data,No data,1153.536422,No data,0,66.46580505
Idiopathic developmental intellectual disability,YEM,Female,2008,15097.32004,No data,No data,1153.536422,No data,0,66.46580505
Schizophrenia,YEM,Female,2008,8537.049807,No data,No data,1153.536422,No data,0,66.46580505
Anxiety disorders,ATG,Female,2008,256.5746909,No data,No data,16457.10406,No data,0,691.2073364
Attention-deficit_hyperactivity disorder,ATG,Female,2008,6.6347226,No data,No data,16457.10406,No data,0,691.2073364
Bipolar disorder,ATG,Female,2008,92.98014149,No data,No data,16457.10406,No data,0,691.2073364
Depressive disorders,ATG,Female,2008,234.642553,No data,No data,16457.10406,No data,0,691.2073364
Eating disorders,ATG,Female,2008,47.54861506,No data,No data,16457.10406,No data,0,691.2073364
Idiopathic developmental intellectual disability,ATG,Female,2008,4.474568807,No data,No data,16457.10406,No data,0,691.2073364
Schizophrenia,ATG,Female,2008,59.33252061,No data,No data,16457.10406,No data,0,691.2073364
Anxiety disorders,ATG,Female,2009,258.4655521,No data,No data,14530.59869,No data,0,606.9046021
Attention-deficit_hyperactivity disorder,ATG,Female,2009,6.610240475,No data,No data,14530.59869,No data,0,606.9046021
Bipolar disorder,ATG,Female,2009,93.68587813,No data,No data,14530.59869,No data,0,606.9046021
Depressive disorders,ATG,Female,2009,236.2105348,No data,No data,14530.59869,No data,0,606.9046021
Eating disorders,ATG,Female,2009,47.95779132,No data,No data,14530.59869,No data,0,606.9046021
Idiopathic developmental intellectual disability,ATG,Female,2009,4.423804374,No data,No data,14530.59869,No data,0,606.9046021
Schizophrenia,ATG,Female,2009,60.11245617,No data,No data,14530.59869,No data,0,606.9046021
Anxiety disorders,ARE,Female,2009,13450.90808,No data,No data,31722.58876,No data,0,1284.763184
Attention-deficit_hyperactivity disorder,ARE,Female,2009,80.02169674,No data,No data,31722.58876,No data,0,1284.763184
Anxiety disorders,ZMB,Female,2008,24801.65504,No data,No data,1393.519491,No data,0,62.25917435
Attention-deficit_hyperactivity disorder,ZMB,Female,2008,747.6430428,No data,No data,1393.519491,No data,0,62.25917435
Bipolar disorder,ZMB,Female,2008,6659.19671,No data,No data,1393.519491,No data,0,62.25917435
Depressive disorders,ZMB,Female,2008,28487.64849,No data,No data,1393.519491,No data,0,62.25917435
Eating disorders,ZMB,Female,2008,2219.272312,No data,No data,1393.519491,No data,0,62.25917435
Idiopathic developmental intellectual disability,ZMB,Female,2008,1675.515701,No data,No data,1393.519491,No data,0,62.25917435
Schizophrenia,ZMB,Female,2008,4279.073116,No data,No data,1393.519491,No data,0,62.25917435
Anxiety disorders,ARE,Female,2010,13853.06973,No data,No data,35392.26097,No data,0,1325.203247
Depressive disorders,ARE,Female,2010,13859.38821,No data,No data,35392.26097,No data,0,1325.203247
Eating disorders,ARE,Female,2010,2794.327796,No data,No data,35392.26097,No data,0,1325.203247
Idiopathic developmental intellectual disability,ARE,Female,2010,685.3469183,No data,No data,35392.26097,No data,0,1325.203247
Schizophrenia,ARE,Female,2010,3386.351297,No data,No data,35392.26097,No data,0,1325.203247
Anxiety disorders,ATG,Female,2013,263.1141536,No data,No data,14977.07183,No data,0,735.4927979
Attention-deficit_hyperactivity disorder,ATG,Female,2013,6.500541842,No data,No data,14977.07183,No data,0,735.4927979
Bipolar disorder,ATG,Female,2013,95.53171858,No data,No data,14977.07183,No data,0,735.4927979
Depressive disorders,ATG,Female,2013,244.7288127,No data,No data,14977.07183,No data,0,735.4927979
Eating disorders,ATG,Female,2013,48.17679578,No data,No data,14977.07183,No data,0,735.4927979
Idiopathic developmental intellectual disability,ATG,Female,2013,4.344969984,No data,No data,14977.07183,No data,0,735.4927979
Schizophrenia,ATG,Female,2013,62.33523159,No data,No data,14977.07183,No data,0,735.4927979
Anxiety disorders,ZWE,Female,2008,17462.58542,No data,No data,351.8391005,No data,0,0
Attention-deficit_hyperactivity disorder,ZWE,Female,2008,753.886394,No data,No data,351.8391005,No data,0,0
Bipolar disorder,ZWE,Female,2008,7363.081616,No data,No data,351.8391005,No data,0,0
Depressive disorders,ZWE,Female,2008,26684.35878,No data,No data,351.8391005,No data,0,0
Eating disorders,ZWE,Female,2008,2256.239607,No data,No data,351.8391005,No data,0,0
Idiopathic developmental intellectual disability,ZWE,Female,2008,1940.114539,No data,No data,351.8391005,No data,0,0
Schizophrenia,ZWE,Female,2008,4719.569452,No data,No data,351.8391005,No data,0,0
